"OUTLET_ID","LATITUDE","LONGITUDE","DEALER_NAME","GSSN_OUTLET_ID","DEALER_PHONE","DEALER_FAX","DEALER_ADDRESS_LINE1","DEALER_ADDRESS_LINE2","DEALER_CITY","DEALER_STATE","DEALER_ZIP","DEALER_REGION_CODE","MAYBACH_DEALER_INDICATOR_FRANCHISE","ELITE_AMG_PERFORMANCE_CENTER","AMG_PERFORMANCE_CENTER_INDICATOR","SERVICE_ONLY_DEALER_INDICATOR","DEALER_PREMIUM_EXPRESS_INDICATOR","ZERO_EMISSION_VEHICLE_STATE_INDICATOR","FRANCHISE_MB","FRANCHISE_SM","FRANCHISE_SPRINTER","DEALER_WEBSITE","DEALER_WEBSITE_SERVICE","DEALER_WEBSITE_SALES","DEALER_COUNTRY","LANGUAGES_SPOKEN","CREATED_BY","CREATED_DATE","UPDATED_BY","UPDATED_DATE"
"M01H7183","18.957195","-99.235764","Cever Cuernavaca, S.A. de C.V.","GS0056537","777 482 1111","777 482 1111","Paseo del Conquistador 203 ","Col. Maravillas","Cuernavaca","Morelos","62230","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.mercedes-benzcuernavaca.com.mx/","http://www.mercedes-benzcuernavaca.com.mx/","http://www.mercedes-benzcuernavaca.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7048","19.694397","-101.15947","Ravisa Haus S.A. de C.V.","GS0016019","443 324 5001","443 324 5001","Enrique Ramirez Miguel 110 ","Col. Chapultepec Oriente ","Morelia","Michoacan","58260","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.ravisahaus.com/","http://www.ravisahaus.com/","http://www.ravisahaus.com/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7010","19.215987","-99.15528","Automotriz Hermer S.A. de C.V.","GS0002983","55 9177 0800 ","55 9177 0800 ","Vasco de Quiroga 3200 PB Local D ","Col. Centro de Ciudad SantaFe","Mexico","Ciudad de Mexico","1210","N/A","N","T","T","N","N","N","MB","SM","N/A","www.hermer.mx","www.hermer.mx","www.hermer.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7011","19.185714","-99.131477","Automotriz Hermer S.A. de C.V.","GS0002984","55 5481 0160 ","55 5481 0160 ","Periferico Sur 3230, Jardines del Pedregal y Alvaro Obregon","Col. Jardines del Pedregal","Mexico","Ciudad de Mexico","1900","N/A","N","T","T","N","N","N","MB","SM","N/A","www.hermer.mx","www.hermer.mx","www.hermer.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7012","19.255259","-99.105775","Automotriz Hermer S.A. de C.V.","GS0016557","55 5262 9860","55 5262 9860","Presidente Masaryk 42, Tasso y Spencer","Col. Polanco Chapultepec.","Mexico","Ciudad de Mexico","11560","N/A","N","T","T","N","N","N","MB","SM","N/A","www.hermer.mx","www.hermer.mx","www.hermer.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7014","19.263211","-99.121023","Automotriz Hermer S.A. de C.V.","GS0016558","55 1101 1500 ","55 1101 1500 ","Lago Zurich 96 Local 1, Lago Andromaco","Col. Ampliacion Granada","Mexico","Ciudad de Mexico","11529","N/A","N","F","F","N","N","N","MB","SM","N/A","www.hermer.mx","www.hermer.mx","www.hermer.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7015","19.224068","-99.153324","Automotriz Hermer S.A. de C.V.","GS0021585","55 9177 0830 ","55 9177 0830 ","Carr. Mexico Toluca 3109, Vereda de Santiago y Paseo de Tamarindos ","Col. Cooperativa Palo Alto","Mexico","Ciudad de Mexico","5200","N/A","N","F","F","N","N","N","MB","SM","N/A","www.hermer.mx","www.hermer.mx","www.hermer.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7016","19.175829","-99.062898","Automotriz Hermer S.A. de C.V.","GS0042501","55 5483 4450 ","55 5483 4450 ","Calzada del Hueso No. 975","Col. Granjas Coapa","Mexico","Ciudad de Mexico","14330","N/A","N","F","F","N","N","N","MB","SM","N/A","www.hermer.mx","www.hermer.mx","www.hermer.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7033","17.583551","-92.562111","Autotab S.A. de C.V. ","GS0003033","993 313 6666","993 313 6666","Av. Juan Estrada Torre S/N Esq. Velodromo Ciudad Deportiva","Col. Primero De Mayo","Villahermosa","Tabasco","86190","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedes-benz-autotab.com.mx","www.mercedes-benz-autotab.com.mx","www.mercedes-benz-autotab.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7031","21.070102","-86.501204","Autotab S.A. de C.V. ","GS0032179","998 882 0623","998 882 0623","Blvd. Luis Donaldo Colosio No. 650","Col. Super Manzana 311 Cancun","Cancun","Quintana Roo","77560","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedes-benz-autotab.com.mx","www.mercedes-benz-autotab.com.mx","www.mercedes-benz-autotab.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7035","20.403008","-103.231256","Eurostern S.A. de C.V.","GS0015452","33 3630 4545","33 3630 4545","Av Vallarta 2760, Fdo. De Celada y Morelos"," Col. Arcos","Guadalajara","Jalisco","44600","N/A","N","F","F","N","N","N","MB","SM","N/A","www.eurostern.com.mx","www.eurostern.com.mx","www.eurostern.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7036","20.383143","-103.242907","Eurostern S.A. de C.V.","GS0018561","33 3134 5680","33 3134 5680","Av. Lopez Mateos Sur 4095, Av Conchitas."," Col. Loma Bonita Residencial.","Zapopan","Jalisco","45087","N/A","N","T","T","N","N","N","MB","SM","N/A","www.eurostern.com.mx","www.eurostern.com.mx","www.eurostern.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7037","20.422244","-103.215653","Eurostern S.A. de C.V.","GS0038274","33 5000 3400","33 5000 3400","Av. Camacho 2085, Mar Egeo y Cirncunvalacion."," Col. Country Club","Zapopan","Jalisco","44210","N/A","N","F","F","N","N","N","MB","N/A","SP","www.eurostern.com.mx","www.eurostern.com.mx","www.eurostern.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7040","20.40215","-105.145305","Eurostern S.A. de C.V.","GS0047910","322 260 4999","322 260 4999","Obelisco 121, Rosa Orqudea. ","Col. Villa las Flores","Puerto Vallarta","Jalisco","48350","N/A","N","F","F","N","N","N","MB","SM","N/A","www.eurostern.com.mx","www.eurostern.com.mx","www.eurostern.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H8150","20.70397","-103.414017","1amg","GS0043335","33 3070 6012","33 3070 6012","Paseo Royal Country 4555 A","Col. Royal Country","Zapopan","Jalisco","45116","regi","N","F","F","N","N","N","MB","SM","N/A","https://www.starpatria.com.mx/mbenz/","https://www.starpatria.com.mx/mbenz/","https://www.starpatria.com.mx/mbenz/","UK","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7085","19.380558","-99.169006","Autosat De Mexico S.A. de C.V.","GS0054567","55 5636 0600","55 5636 0600","Ave Coyoacan 1011","Col. Del Valle Centro ","Mexico","CDM","3100","N/A","N","F","F","N","N","N","MB","SM","N/A","http://autosatinsurgentes.com.mx/?rd=true","http://autosatinsurgentes.com.mx/?rd=true","http://autosatinsurgentes.com.mx/?rd=true","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7052","19.404663","-99.271828","Star Haus S.A. de C.V.","GS0015448","55 1250 2626","55 1250 2626","Blvd. Magnocentro 37","Col. La Herradura","Mexico","CDM","52787","N/A","N","T","T","N","N","N","MB","SM","N/A","https://www.starhaus.com.mx/","https://www.starhaus.com.mx/","https://www.starhaus.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7046","20.371389","-100.245191","Ravisa Haus S.A. de C.V.","GS0019507","442 217 3392","442 217 3392","Bernardo Quintana Arrioja 5112  ","Col. San Pablo ","Queretaro","Queretaro","76125","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesqueretaro.mx","www.mercedesqueretaro.mx","www.mercedesqueretaro.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7172","20.076275","-98.77565","Herrera Premium S.A. de C.V.","GS0054570","771 714 2011","771 714 2011","Carretera Mexico Pachuca KM 85.5","Col. Club de Golf","Pachuca de Soto","Hidalgo","42080","N/A","\N","\N","\N","\N","\N","\N","\N","\N","\N","http://www.seminuevosherrera.com/","http://www.seminuevosherrera.com/","http://www.seminuevosherrera.com/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"59128","35.899153","-78.940778","Mercedes-Benz of Durham","GS0042404","(919) 354-7770","(919) 354-7770","110 Kentington Drive","110 Kentington Drive","Durham","nc","27713","EASTERN","\N","\N","\N","\N","\N","\N","\N","\N","\N","","www.mercedesbenzofdurham.com/schedule-service1.htm","","us","en","StarEai","10/1/2018","StarEai","10/1/2018"
"M01H7047","20.345903","-100.234528","Ravisa Haus S.A. de C.V.","GS0036107","442 217 3392","442 217 3392","Av. Constituyentes Pte. 103 ","Col. Casa Blanca","Queretaro","Queretaro","76030","N/A","N","F","F","N","N","N","MB","SM","N/A","www.ravisahaus.com.mx","www.ravisahaus.com.mx","www.ravisahaus.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7050","19.165626","-99.310052","Star Haus S.A. de C.V.","GS0015454","728 285  0102","728 285  0102","Carretera Mexico Toluca KM 50.6M ","Col.La Estacion","Toluca","Estado de Mexico","52006","N/A","N","T","T","N","N","N","MB","SM","N/A","www.starhaus.com.mx","www.starhaus.com.mx","www.starhaus.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7201","25.272453","-100.590478","Autos y Vanes Villauto, S.A. de C.V.","GS0052178","844 439 1900","844 439 1900","Blvd Venustiano Carranza 1350, Villa Olimpica. ","Col. Republica","Coahuila","Nuevo Leon","25265","N/A","N","F","F","N","N","N","MB","SM","N/A","www.villauto.com","www.villauto.com","www.villauto.com","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7068","19.302974","-96.515231","Eurodiez S.A. de C.V.","GS0053785","228 688 2203","228 688 2203","Calle primero de enero 1575","Col. El Olmo","Xalapa","Veracruz","91194","N/A","N","F","F","N","N","N","MB","SM","N/A","mercedesbenzveracruz.com.mx ","mercedesbenzveracruz.com.mx ","mercedesbenzveracruz.com.mx ","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
